comparison,gse_1,gse_2,tfidf_cosine,shared_cui_count,shared_idf_sum,shared_cuis,title_1,title_2
within_human,GSE94528,GSE94999,1.0000000000000009,109,564.9372137508017,"['C0001272', 'C0001688', 'C0004561', 'C0006826', 'C0007634', 'C0014511', 'C0014597', 'C0017337', 'C0020792', 'C0021920', 'C0023172', 'C0026882', 'C0031843', 'C0035280', 'C0035687', 'C0039795', 'C0079429', 'C0087111', 'C0162388', 'C0162771', 'C0171406', 'C0184551', 'C0205396', 'C0221284', 'C0221908', 'C0222648', 'C0226896', 'C0302350', 'C0333117', 'C0376545', 'C0439855', 'C0442027', 'C0524983', 'C0542341', 'C0543419', 'C0596240', 'C0596611', 'C0599733', 'C0600448', 'C0679058', 'C0700205', 'C0723712', 'C0879626', 'C0998265', 'C1159372', 'C1175872', 'C1280500', 'C1282927', 'C1306459', 'C1315032', 'C1318143', 'C1332838', 'C1417679', 'C1419980', 'C1419981', 'C1419992', 'C1421254', 'C1511726', 'C1515926', 'C1521840', 'C1522740', 'C1527415', 'C1538431', 'C1546437', 'C1547140', 'C1547427', 'C1547699', 'C1704241', 'C1705273', 'C1705285', 'C1707660', 'C1709060', 'C1753315', 'C1806781', 'C1883559', 'C2245017', 'C2350002', 'C2610186', 'C2700323', 'C2700640', 'C2707253', 'C2754130', 'C2986383', 'C3245479', 'C3245505', 'C3273629', 'C3538866', 'C3639990', 'C3714741', 'C3887983', 'C3899739', 'C4053868', 'C4277541', 'C4277580', 'C4331307', 'C4505109', 'C4524830', 'C4524831', 'C4524832', 'C4524834', 'C5203340', 'C5205215', 'C5238285', 'C5419559', 'C5444688', 'C5552789', 'C5553007', 'C5555094', 'C5667406']","H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [K562]","H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [Nalm-6]"
within_human,GSE81074,GSE81080,1.0000000000000009,108,547.5248527564348,"['C0002793', 'C0002874', 'C0004561', 'C0005839', 'C0005847', 'C0005953', 'C0005955', 'C0007589', 'C0007634', 'C0011155', 'C0014257', 'C0015965', 'C0017262', 'C0018956', 'C0018957', 'C0021135', 'C0023172', 'C0025485', 'C0033052', 'C0033268', 'C0034107', 'C0035330', 'C0037088', 'C0038250', 'C0039585', 'C0050668', 'C0086418', 'C0162429', 'C0171406', 'C0185117', 'C0205409', 'C0205615', 'C0205618', 'C0225336', 'C0225992', 'C0229619', 'C0232117', 'C0243095', 'C0268255', 'C0332161', 'C0332290', 'C0376544', 'C0376678', 'C0387990', 'C0391850', 'C0392761', 'C0439855', 'C0443196', 'C0521457', 'C0524983', 'C0596508', 'C0599156', 'C0669365', 'C0680242', 'C0682906', 'C0729291', 'C0750927', 'C0870134', 'C1113687', 'C1135154', 'C1149454', 'C1159442', 'C1171346', 'C1183499', 'C1415652', 'C1415932', 'C1425328', 'C1428338', 'C1511938', 'C1516050', 'C1517749', 'C1522182', 'C1522740', 'C1524057', 'C1524083', 'C1533691', 'C1548180', 'C1548221', 'C1561593', 'C1623416', 'C1704241', 'C1707455', 'C1709772', 'C1764827', 'C1879547', 'C1880097', 'C1947910', 'C2245017', 'C2346451', 'C2348235', 'C2607943', 'C2700061', 'C2825141', 'C2827718', 'C2911684', 'C2926606', 'C2945687', 'C3714653', 'C3854321', 'C3899739', 'C4019071', 'C4019079', 'C4086236', 'C4318409', 'C4331206', 'C4505109', 'C4699379', 'C4706387']",Differentiation of human embryonic stem cells to HOXA+ hemogenic vasculature that resembles the aorta-gonad-mesonephros,Differentiation of human embryonic stem cells to HOXA+ hemogenic vasculature that resembles the aorta-gonad-mesonephros
within_human,GSE96562,GSE96563,1.0000000000000004,149,773.9526121195225,"['C0003320', 'C0003334', 'C0003341', 'C0004561', 'C0005767', 'C0005768', 'C0005773', 'C0006558', 'C0007595', 'C0007634', 'C0009013', 'C0011854', 'C0011860', 'C0012634', 'C0012854', 'C0013018', 'C0017395', 'C0017925', 'C0019167', 'C0019409', 'C0022131', 'C0023172', 'C0025664', 'C0026636', 'C0027361', 'C0028432', 'C0029213', 'C0029896', 'C0030956', 'C0031437', 'C0032930', 'C0033175', 'C0034790', 'C0037088', 'C0037783', 'C0039194', 'C0039215', 'C0040038', 'C0042834', 'C0079399', 'C0080105', 'C0085551', 'C0086582', 'C0150312', 'C0158328', 'C0178693', 'C0205245', 'C0205360', 'C0229664', 'C0231242', 'C0237401', 'C0237876', 'C0242656', 'C0242960', 'C0243095', 'C0274281', 'C0332157', 'C0332290', 'C0348050', 'C0392148', 'C0439234', 'C0439508', 'C0441833', 'C0441889', 'C0442726', 'C0442737', 'C0449851', 'C0456079', 'C0458343', 'C0524889', 'C0524983', 'C0542341', 'C0545082', 'C0567416', 'C0681850', 'C0682639', 'C0687744', 'C0699748', 'C0728853', 'C0752248', 'C0887909', 'C1136359', 'C1158557', 'C1167203', 'C1257890', 'C1428751', 'C1444748', 'C1511124', 'C1511229', 'C1511790', 'C1512346', 'C1515655', 'C1518999', 'C1519504', 'C1520005', 'C1522529', 'C1524057', 'C1527169', 'C1547311', 'C1547707', 'C1550501', 'C1561543', 'C1561544', 'C1561557', 'C1563691', 'C1654621', 'C1704653', 'C1706203', 'C1706821', 'C1708335', 'C1710548', 'C1837514', 'C1854494', 'C1879547', 'C1947901', 'C1948049', 'C1956267', 'C2349001', 'C2350239', 'C2350593', 'C2607943', 'C2697811', 'C2700217', 'C2825141', 'C2826651', 'C2926606', 'C2936412', 'C3245468', 'C3273371', 'C3853838', 'C3854307', 'C3898900', 'C3899739', 'C4048187', 'C4086963', 'C4321509', 'C4520857', 'C4760607', 'C4761515', 'C5237794', 'C5239280', 'C5401001', 'C5417695', 'C5444558', 'C5544432', 'C5551416', 'C5551417', 'C5554878', 'C5669539']",Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (single-cell RNA-seq of T-cell clone),Single cell RNA-seq reveals expansion of IGRP-reactive CD4+ T cells in recent onset type I diabetes (bulk RNA-seq of T-cell clone)
within_human,GSE81497,GSE81498,1.0000000000000004,133,657.0670691661553,"['C0002684', 'C0003015', 'C0005495', 'C0006826', 'C0007600', 'C0007620', 'C0007621', 'C0017256', 'C0017262', 'C0018270', 'C0022827', 'C0026336', 'C0026339', 'C0026661', 'C0027819', 'C0029016', 'C0031327', 'C0031843', 'C0032699', 'C0033713', 'C0034678', 'C0035018', 'C0035335', 'C0035668', 'C0035696', 'C0038952', 'C0038954', 'C0079427', 'C0183461', 'C0185117', 'C0205216', 'C0205227', 'C0220781', 'C0220844', 'C0221284', 'C0278252', 'C0332281', 'C0332453', 'C0332454', 'C0392756', 'C0439064', 'C0439849', 'C0439850', 'C0441126', 'C0441471', 'C0441712', 'C0442797', 'C0524869', 'C0542341', 'C0580413', 'C0596263', 'C0596632', 'C0597611', 'C0598174', 'C0699748', 'C0700095', 'C0700205', 'C0751995', 'C0812287', 'C0851285', 'C0887945', 'C0887955', 'C0998265', 'C1101610', 'C1137610', 'C1159372', 'C1171362', 'C1306459', 'C1315032', 'C1325410', 'C1332838', 'C1337053', 'C1337054', 'C1435181', 'C1511726', 'C1512140', 'C1515670', 'C1517480', 'C1517946', 'C1517973', 'C1517980', 'C1517985', 'C1520005', 'C1521840', 'C1521871', 'C1524059', 'C1546437', 'C1547140', 'C1621966', 'C1705027', 'C1705273', 'C1705423', 'C1705630', 'C1705741', 'C1705759', 'C1705921', 'C1706099', 'C1706221', 'C1706279', 'C1706376', 'C1706979', 'C1708690', 'C1825819', 'C1825998', 'C1880287', 'C1999216', 'C2707253', 'C2825314', 'C2826982', 'C2911660', 'C2911684', 'C3161035', 'C3245479', 'C3714583', 'C3714741', 'C3853906', 'C3854321', 'C3884166', 'C3898448', 'C4054120', 'C4255284', 'C4321488', 'C4528292', 'C4553183', 'C4684960', 'C4699379', 'C4744367', 'C5204434', 'C5237010', 'C5419559', 'C5441593', 'C5444885', 'C5447942']",Multiple mechanisms disrupt let-7 miRNA biogenesis and function in neuroblastoma [Let7Targets],Multiple mechanisms disrupt let-7 miRNA biogenesis and function in neuroblastoma [longRNA]
within_human,GSE71456,GSE74953,1.0000000000000004,116,608.6188482424224,"['C0002793', 'C0007589', 'C0007600', 'C0007634', 'C0008111', 'C0008633', 'C0008651', 'C0008662', 'C0008666', 'C0011435', 'C0012568', 'C0015219', 'C0015914', 'C0017262', 'C0017337', 'C0017428', 'C0017471', 'C0018590', 'C0022526', 'C0022827', 'C0023977', 'C0024501', 'C0024660', 'C0028877', 'C0029045', 'C0029974', 'C0030013', 'C0035648', 'C0035868', 'C0036866', 'C0037742', 'C0037783', 'C0042834', 'C0043292', 'C0043297', 'C0079429', 'C0086418', 'C0086586', 'C0162658', 'C0178602', 'C0178655', 'C0204727', 'C0205322', 'C0205344', 'C0205409', 'C0220862', 'C0243107', 'C0301630', 'C0333684', 'C0387990', 'C0392756', 'C0544461', 'C0596142', 'C0596150', 'C0596508', 'C0598496', 'C0600644', 'C0678723', 'C0686870', 'C0796351', 'C0805874', 'C0870672', 'C0871161', 'C0872076', 'C0936012', 'C0947647', 'C1113687', 'C1155711', 'C1159442', 'C1171346', 'C1257909', 'C1257912', 'C1261273', 'C1292721', 'C1293152', 'C1300203', 'C1397014', 'C1417679', 'C1441547', 'C1511938', 'C1512140', 'C1512977', 'C1516240', 'C1516348', 'C1516698', 'C1517495', 'C1521970', 'C1522821', 'C1524082', 'C1527148', 'C1547129', 'C1548151', 'C1548355', 'C1704814', 'C1704815', 'C1705920', 'C1817350', 'C2338314', 'C2348040', 'C2350593', 'C2717959', 'C2718310', 'C2945687', 'C3156794', 'C3156948', 'C3858590', 'C3895352', 'C4086963', 'C4318409', 'C4327688', 'C4520819', 'C4551656', 'C4760607', 'C5237005', 'C5239189', 'C5447677']",Derivation and differentiation of haploid human embryonic stem cells [RNA-Seq 1],Derivation and differentiation of haploid human embryonic stem cells [RNA-Seq 2]
within_human,GSE93593,GSE93801,1.0000000000000004,86,399.85543053451795,"['C0004561', 'C0007634', 'C0008630', 'C0008972', 'C0009990', 'C0010453', 'C0017262', 'C0017263', 'C0017337', 'C0017387', 'C0021135', 'C0021792', 'C0023172', 'C0027882', 'C0028944', 'C0030625', 'C0032659', 'C0034330', 'C0038250', 'C0040223', 'C0078944', 'C0079429', 'C0086418', 'C0149576', 'C0185117', 'C0205095', 'C0205286', 'C0220723', 'C0220814', 'C0231024', 'C0429865', 'C0430400', 'C0449475', 'C0449913', 'C0524983', 'C0557651', 'C0596171', 'C0752248', 'C0851285', 'C0870134', 'C0878517', 'C0947630', 'C1159970', 'C1160700', 'C1257890', 'C1415142', 'C1417679', 'C1420869', 'C1511726', 'C1515654', 'C1516876', 'C1517486', 'C1533691', 'C1546437', 'C1547403', 'C1548318', 'C1553451', 'C1704235', 'C1705923', 'C1706355', 'C1818596', 'C1880022', 'C1880371', 'C1882460', 'C1998882', 'C1999216', 'C2242979', 'C2348792', 'C2603343', 'C2827718', 'C3245479', 'C3274768', 'C3463820', 'C3541383', 'C3714741', 'C3888058', 'C3899739', 'C4318409', 'C4318427', 'C4328866', 'C4505105', 'C4727081', 'C5417695', 'C5441654', 'C5554878', 'C5669539']",Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,Sub-population RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.
within_human,GSE71503,GSE71505,1.0000000000000004,65,373.5035308103413,"['C0002793', 'C0003463', 'C0007589', 'C0007620', 'C0023452', 'C0026640', 'C0027651', 'C0032339', 'C0035372', 'C0037088', 'C0038952', 'C0038954', 'C0040682', 'C0086222', 'C0086418', 'C0205266', 'C0206743', 'C0220645', 'C0221099', 'C0243095', 'C0292369', 'C0449560', 'C0544461', 'C0812273', 'C0854917', 'C0872403', 'C0876889', 'C1159442', 'C1167092', 'C1167093', 'C1266184', 'C1335883', 'C1337048', 'C1337050', 'C1337090', 'C1420322', 'C1420382', 'C1433276', 'C1510411', 'C1511938', 'C1516924', 'C1517945', 'C1521725', 'C1539358', 'C1554215', 'C1568630', 'C1578706', 'C1705163', 'C1705733', 'C1947912', 'C2349975', 'C2607943', 'C2825141', 'C2926606', 'C2945687', 'C2985524', 'C3273930', 'C3714584', 'C3858762', 'C3858781', 'C4255256', 'C4263551', 'C4318409', 'C5418825', 'C5446884']",SMARCB1-mediated SWI/SNF complex function is essential for enhancer regulation [primary tissue_RNA-seq],SMARCB1-mediated SWI/SNF complex function is essential for enhancer regulation [cell line_RNA-seq]
within_human,GSE101518,GSE101519,1.0000000000000004,47,288.0058429275562,"['C0010186', 'C0011684', 'C0013682', 'C0015320', 'C0017272', 'C0021622', 'C0022189', 'C0023621', 'C0023622', 'C0023625', 'C0025361', 'C0025663', 'C0028953', 'C0033666', 'C0034379', 'C0035171', 'C0035684', 'C0076934', 'C0205224', 'C0243114', 'C0332306', 'C0424295', 'C0449851', 'C0452956', 'C0521115', 'C0597301', 'C0600449', 'C0814225', 'C0871740', 'C0872147', 'C0949765', 'C1272753', 'C1517889', 'C1522240', 'C1708715', 'C1709694', 'C1710679', 'C1880202', 'C1998793', 'C2828387', 'C2986734', 'C3830282', 'C4288901', 'C5401068', 'C5554878', 'C5667317', 'C5669539']",Large-scale low-cost NGS library preparation using a robust Tn5 purification and tagmentation protocol [i5i7],Large-scale low-cost NGS library preparation using a robust Tn5 purification and tagmentation protocol [polyA]
within_human,GSE79293,GSE79304,1.0000000000000004,21,114.66462549121643,"['C0013443', 'C0014644', 'C0017260', 'C0017428', 'C0040649', 'C0149678', 'C0205173', 'C0243092', 'C0262950', 'C0369169', 'C0460148', 'C0678594', 'C0851107', 'C1136156', 'C1514893', 'C1519595', 'C1537811', 'C1706463', 'C2699427', 'C2699488', 'C4329796']",Global transcript structure resolution of high gene density genomes through multi-platform data integration: deepCAGE,Global transcript structure resolution of high gene density genomes through multi-platform data integration: Illumina RNA-Seq
within_human,GSE77032,GSE77034,1.0000000000000004,17,70.8899698897302,"['C0003968', 'C0017262', 'C0017337', 'C0042890', 'C0079429', 'C0162327', 'C0185117', 'C1258005', 'C1417679', 'C1707455', 'C2349136', 'C2911684', 'C3714687', 'C3854321', 'C4086963', 'C4522080', 'C4699379']","Total RNA sequencing of HCT116 cells with vitamin C, 5-Aza-CdR and combination treatment compared to untreated cells I","Total RNA sequencing of HCT116 cells with vitamin C, 5-Aza-CdR and combination treatment compared to untreated cells II"
