comparison,gse_1,gse_2,cui_tfidf_cosine,shared_cui_count,shared_idf_sum,shared_cuis,title_1,title_2,title_1_full,title_2_full,summary_1,summary_2,summary_1_norm,summary_2_norm,same_summary,same_cui_set,pmid_1,pmid_2,shared_pmid,same_pmid,subseries_1,subseries_2,shared_subseries,same_subseries,superseries_1,superseries_2,shared_superseries,same_superseries,affiliation_1,affiliation_2,shared_affiliation,same_affiliation,BioProject_1,BioProject_2,shared_BioProject,same_BioProject,SRA_1,SRA_2,shared_SRA,same_SRA,same_source_prediction,same_source_confidence,title_1_norm,title_2_norm,text_1_norm,text_2_norm,title_damerau_sim,summary_damerau_sim,text_damerau_sim,title_text_tfidf_cosine,summary_text_tfidf_cosine,text_tfidf_cosine,near_same_title,near_same_summary,near_same_text,cui_high,text_tfidf_high,edit_high,similarity_pattern
within_human,GSE41476,GSE80388,0.9301020130873277,7,38.764696687717304,"['C0024623', 'C0345804', 'C0699791', 'C1333763', 'C1880929', 'C4086963', 'C4760607']",RNA-seq for gastric cancer and normal tissues/cells,Gastric cancer RNA-seq,RNA-seq for gastric cancer and normal tissues/cells,Gastric cancer RNA-seq,We performed RNA-seq experiments to identify differentially expressed intergenic transcripts between gastric cancer and normal tissues/cells.,RNA  sequencong of 9 upper GI gastric biopsies and resected gastric tissues,we performed rna-seq experiments to identify differentially expressed intergenic transcripts between gastric cancer and normal tissues/cells.,rna sequencong of 9 upper gi gastric biopsies and resected gastric tissues,False,False,23846333,29720137,[],False,,,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA178120'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA318783'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP016059'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP073446'],[],False,False,Unknown,rna-seq for gastric cancer and normal tissues/cells,gastric cancer rna-seq,rna-seq for gastric cancer and normal tissues/cells we performed rna-seq experiments to identify differentially expressed intergenic transcripts between gastric cancer and normal tissues/cells.,gastric cancer rna-seq rna sequencong of 9 upper gi gastric biopsies and resected gastric tissues,0.37254901960784315,0.2907801418439716,0.3160621761658031,0.42295323678220653,0.1170948521769743,0.25419100049776505,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
human_mouse,GSE81673,GSE101984,0.6784583542596345,4,13.82053275189771,"['C4086963', 'C4760607', 'C5554878', 'C5669539']",Characterisation of EZH2-deficient human embryonic stem cells [single cell RNA-seq],Diversity amongst trigeminal neurons revealed by high throughput single cell sequencing,Characterisation of EZH2-deficient human embryonic stem cells [single cell RNA-seq],Diversity amongst trigeminal neurons revealed by high throughput single cell sequencing,Here we analyse single cell transcriptome profiles of EZH2-deficient human embroynic stem cells,Single cell RNA-seq was performed on the mouse trigmeminal ganglia.,here we analyse single cell transcriptome profiles of ezh2-deficient human embroynic stem cells,single cell rna-seq was performed on the mouse trigmeminal ganglia.,False,False,27926872,28957441,[],False,['GSE81674'],,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA322291'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396069'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP075467'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP113737'],[],False,False,Unknown,characterisation of ezh2-deficient human embryonic stem cells [single cell rna-seq],diversity amongst trigeminal neurons revealed by high throughput single cell sequencing,characterisation of ezh2-deficient human embryonic stem cells [single cell rna-seq] here we analyse single cell transcriptome profiles of ezh2-deficient human embroynic stem cells,diversity amongst trigeminal neurons revealed by high throughput single cell sequencing single cell rna-seq was performed on the mouse trigmeminal ganglia.,0.25287356321839083,0.3052631578947368,0.3072625698324022,0.06788135712774511,0.06614446760628684,0.1169240681212968,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
within_human,GSE41476,GSE80389,0.6777661988744779,7,38.764696687717304,"['C0024623', 'C0345804', 'C0699791', 'C1333763', 'C1880929', 'C4086963', 'C4760607']",RNA-seq for gastric cancer and normal tissues/cells,Gastric cancer targeted RNA-seq,RNA-seq for gastric cancer and normal tissues/cells,Gastric cancer targeted RNA-seq,We performed RNA-seq experiments to identify differentially expressed intergenic transcripts between gastric cancer and normal tissues/cells.,targeted gene sequencong of 157 preselected genes in upper GI biopsies and resected stomack tissues,we performed rna-seq experiments to identify differentially expressed intergenic transcripts between gastric cancer and normal tissues/cells.,targeted gene sequencong of 157 preselected genes in upper gi biopsies and resected stomack tissues,False,False,23846333,29720137,[],False,,,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA178120'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA318782'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP016059'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP073447'],[],False,False,Unknown,rna-seq for gastric cancer and normal tissues/cells,gastric cancer targeted rna-seq,rna-seq for gastric cancer and normal tissues/cells we performed rna-seq experiments to identify differentially expressed intergenic transcripts between gastric cancer and normal tissues/cells.,gastric cancer targeted rna-seq targeted gene sequencong of 157 preselected genes in upper gi biopsies and resected stomack tissues,0.3529411764705882,0.2978723404255319,0.3264248704663213,0.30898374915215737,0.023089843620418996,0.13343803587023387,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
human_mouse,GSE49642,GSE95141,0.6731471199047379,5,14.847120085031483,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",Leucegene: AML sequencing (part 1),RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,Leucegene: AML sequencing (part 1),RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,RNA sequencing of human leukemia,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,rna sequencing of human leukemia,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,False,False,24069164; 26834243; 26968532,,[],False,"['GSE48173', 'GSE67040']",,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA214592'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA376184'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP028594'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP100466'],[],False,False,Unknown,leucegene: aml sequencing (part 1),rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,leucegene: aml sequencing (part 1) rna sequencing of human leukemia,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,0.20238095238095233,0.3214285714285714,0.26627218934911245,0.025493260259534932,0.0774166495458203,0.051927215842513676,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
human_mouse,GSE62190,GSE95141,0.6731471199047379,5,14.847120085031483,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",Leucegene: AML sequencing (part 3),RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,Leucegene: AML sequencing (part 3),RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,RNA sequencing of human leukemia,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,rna sequencing of human leukemia,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,False,False,26237430; 26834243; 26968532,,[],False,['GSE67040'],,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA263397'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA376184'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP048759'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP100466'],[],False,False,Unknown,leucegene: aml sequencing (part 3),rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,leucegene: aml sequencing (part 3) rna sequencing of human leukemia,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,0.20238095238095233,0.3214285714285714,0.26627218934911245,0.025493260259534932,0.0774166495458203,0.051927215842513676,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
human_mouse,GSE52656,GSE95141,0.6731471199047379,5,14.847120085031483,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",Leucegene: AML sequencing (part 2),RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,Leucegene: AML sequencing (part 2),RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,RNA sequencing of human leukemia,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,rna sequencing of human leukemia,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,False,False,26834243; 26968532,,[],False,['GSE67040'],,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA229548'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA376184'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP033266'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP100466'],[],False,False,Unknown,leucegene: aml sequencing (part 2),rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,leucegene: aml sequencing (part 2) rna sequencing of human leukemia,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,0.20238095238095233,0.3214285714285714,0.26627218934911245,0.025493260259534932,0.0774166495458203,0.051927215842513676,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
human_mouse,GSE66917,GSE95141,0.6731471199047379,5,14.847120085031483,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",Leucegene: AML sequencing (part 4),RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,Leucegene: AML sequencing (part 4),RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,RNA sequencing of human leukemia,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,rna sequencing of human leukemia,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,False,False,26237430; 26834243; 26968532,,[],False,['GSE67040'],,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA278364'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA376184'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP056197'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP100466'],[],False,False,Unknown,leucegene: aml sequencing (part 4),rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,leucegene: aml sequencing (part 4) rna sequencing of human leukemia,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,0.20238095238095233,0.3214285714285714,0.26627218934911245,0.025493260259534932,0.0774166495458203,0.051927215842513676,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
within_human,GSE45785,GSE86221,0.6676321212072234,16,81.27744263895511,"['C0003015', 'C0079419', 'C0080055', 'C0127306', 'C0146283', 'C0332293', 'C0812222', 'C0879296', 'C0971008', 'C1522326', 'C1705526', 'C1999216', 'C4086963', 'C4553183', 'C4684960', 'C5204434']","Transcriptome-profiling (RNA-seq) and Ribosome-profiling (Ribo-seq) of BJ cells treated with Nutlin-3a, an MDM2 inhibitor, which induces p53.","Total RNA-seq from HCT116, MCF7 and SJSA cell lines treated with DMSO and Nutlin","Transcriptome-profiling (RNA-seq) and Ribosome-profiling (Ribo-seq) of BJ cells treated with Nutlin-3a, an MDM2 inhibitor, which induces p53.","Total RNA-seq from HCT116, MCF7 and SJSA cell lines treated with DMSO and Nutlin",We applied in parallel RNA-Seq and Ribosome-profiling analyses to immortalized human primary BJ fibroblast cells in which p53 was induced by Nutlin-3a,"To determine effects of p53 activation on steady-state mRNA levels, we performed RNA-seq analysis of colorectal carcinoma cell line HCT116 (p53+/+ and p53 -/-), breast carcinoma line MCF7, and osteosarcoma line SJSA treated with MDM2 inhibitor Nutlin.",we applied in parallel rna-seq and ribosome-profiling analyses to immortalized human primary bj fibroblast cells in which p53 was induced by nutlin-3a,"to determine effects of p53 activation on steady-state mrna levels, we performed rna-seq analysis of colorectal carcinoma cell line hct116 (p53+/+ and p53 -/-), breast carcinoma line mcf7, and osteosarcoma line sjsa treated with mdm2 inhibitor nutlin.",False,False,23594524,28904012,[],False,['GSE45833'],['GSE86222'],[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA196335'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA340956'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP020544'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP083743'],[],False,False,Unknown,"transcriptome-profiling (rna-seq) and ribosome-profiling (ribo-seq) of bj cells treated with nutlin-3a, an mdm2 inhibitor, which induces p53.","total rna-seq from hct116, mcf7 and sjsa cell lines treated with dmso and nutlin","transcriptome-profiling (rna-seq) and ribosome-profiling (ribo-seq) of bj cells treated with nutlin-3a, an mdm2 inhibitor, which induces p53. we applied in parallel rna-seq and ribosome-profiling analyses to immortalized human primary bj fibroblast cells in which p53 was induced by nutlin-3a","total rna-seq from hct116, mcf7 and sjsa cell lines treated with dmso and nutlin to determine effects of p53 activation on steady-state mrna levels, we performed rna-seq analysis of colorectal carcinoma cell line hct116 (p53+/+ and p53 -/-), breast carcinoma line mcf7, and osteosarcoma line sjsa treated with mdm2 inhibitor nutlin.",0.2978723404255319,0.2828685258964143,0.22590361445783136,0.08386861504648455,0.08101989267181829,0.1582341213951284,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
within_mouse,GSE71531,GSE87870,0.6638718892363991,6,28.797561680638367,"['C0023467', 'C0215508', 'C0752248', 'C1335654', 'C1435548', 'C1705326']",Targeting leukemia-initiating cells through pharmacologic inhibition of Pol I transcription to treat MLL-driven acute myeloid leukemia,Next gen RNA sequencing of mouse acute myeloid leukemia,Targeting leukemia-initiating cells through pharmacologic inhibition of Pol I transcription to treat MLL-driven acute myeloid leukemia,Next gen RNA sequencing of mouse acute myeloid leukemia,Transcriptome analysis revealed differential responses to Pol I inhibition in p53WT and p53null AML in vivo,Trascriptome analysis of aml samples were performed,transcriptome analysis revealed differential responses to pol i inhibition in p53wt and p53null aml in vivo,trascriptome analysis of aml samples were performed,False,False,,27991934,[],False,,,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA291442'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA347981'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP061788'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP091437'],[],False,False,Unknown,targeting leukemia-initiating cells through pharmacologic inhibition of pol i transcription to treat mll-driven acute myeloid leukemia,next gen rna sequencing of mouse acute myeloid leukemia,targeting leukemia-initiating cells through pharmacologic inhibition of pol i transcription to treat mll-driven acute myeloid leukemia transcriptome analysis revealed differential responses to pol i inhibition in p53wt and p53null aml in vivo,next gen rna sequencing of mouse acute myeloid leukemia trascriptome analysis of aml samples were performed,0.30597014925373134,0.30841121495327106,0.3099173553719008,0.24461153076727615,0.06964628101357154,0.14234853359829525,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
within_mouse,GSE84302,GSE95141,0.6594484602602841,5,14.847120085031483,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",RNA sequencing to identify common targets for GSK3,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,RNA sequencing to identify common targets for GSK3,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,common targets with different GSK3 inhibition approaches,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,common targets with different gsk3 inhibition approaches,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,False,False,,,[],False,,,[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA328804'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA376184'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP078340'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP100466'],[],False,False,Unknown,rna sequencing to identify common targets for gsk3,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,rna sequencing to identify common targets for gsk3 common targets with different gsk3 inhibition approaches,rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice rna sequencing of striatum tissue from naive csnk1e knockout mice and wild-type mice,0.34523809523809523,0.22619047619047616,0.29585798816568043,0.04969865574436291,0.0,0.020094028095220397,False,False,False,True,False,False,high_cui_low_text_potential_cui_specific
