ids	species	titles	summaries	documents
GSE100027	Homo sapiens	Hit-and-run epigenetic editing prevents senescence entry in primary breast cells from healthy donors [RNA-seq]	Aberrant promoter DNA hypermethylation is a hallmark of cancer; however, whether this is sufficient to drive cellular transformation in the absence of genetic mutations is not clear. To investigate this question, we use a CRISPR/dCas9 based epigenetic editing tool, where an inactive form of Cas9 is fused to DNMT3A and its regulator DNMT3L. Using this system, we show simultaneous de novo DNA methylation of genes commonly methylated in cancer, CDKN2A, RASSF1, HIC1 and PTEN in primary myoepithelial cells isolated from healthy human breast tissue. We find that promoter methylation is maintained in this system, even in the absence of the fusion construct and results in sustained repression of CDKN2A and RASSF1 transcripts which prevents cells from entering senescence. The phenotype is associated with retuned expression of a subset of genes to levels in early passage cells; however, the outgrowing myoepithelial cells are not immortal but proliferate for 18-20 population doublings before cell cycle arrest. Finally, we show that the key driver of this phenotype is repression of CDKN2A transcript p16, but prolonged proliferation is enhanced by combined hypermethylation and repression of both CDKN2A transcripts p16 and p14. This work demonstrates that hit-and-run epigenetic events can prevent senescence entry, a potential first step in the disease process.	Hit-and-run epigenetic editing prevents senescence entry in primary breast cells from healthy donors [RNA-seq]Aberrant promoter DNA hypermethylation is a hallmark of cancer; however, whether this is sufficient to drive cellular transformation in the absence of genetic mutations is not clear. To investigate this question, we use a CRISPR/dCas9 based epigenetic editing tool, where an inactive form of Cas9 is fused to DNMT3A and its regulator DNMT3L. Using this system, we show simultaneous de novo DNA methylation of genes commonly methylated in cancer, CDKN2A, RASSF1, HIC1 and PTEN in primary myoepithelial cells isolated from healthy human breast tissue. We find that promoter methylation is maintained in this system, even in the absence of the fusion construct and results in sustained repression of CDKN2A and RASSF1 transcripts which prevents cells from entering senescence. The phenotype is associated with retuned expression of a subset of genes to levels in early passage cells; however, the outgrowing myoepithelial cells are not immortal but proliferate for 18-20 population doublings before cell cycle arrest. Finally, we show that the key driver of this phenotype is repression of CDKN2A transcript p16, but prolonged proliferation is enhanced by combined hypermethylation and repression of both CDKN2A transcripts p16 and p14. This work demonstrates that hit-and-run epigenetic events can prevent senescence entry, a potential first step in the disease process.
GSE100035	Mus musculus	Sex differences in peripheral not central immune responses to pain-inducing injury	Women suffer chronic pain more frequently than men. It is not clear whether this is due to differences in higher level cognitive processes or basic nociceptive responses. This study used a mouse model to dissociate these factors and found no differences in peripheral afferent neurons or in the spinal cord immune response to neuropathic injury. However, it did identify potential sexual dimorphisms in peripheral adaptive immune responses.	Sex differences in peripheral not central immune responses to pain-inducing injuryWomen suffer chronic pain more frequently than men. It is not clear whether this is due to differences in higher level cognitive processes or basic nociceptive responses. This study used a mouse model to dissociate these factors and found no differences in peripheral afferent neurons or in the spinal cord immune response to neuropathic injury. However, it did identify potential sexual dimorphisms in peripheral adaptive immune responses.
GSE100039	Mus musculus	Learning and age-related changes in genome-wide H2A.Z binding in the hippocampus	We characterize histone H2A.Z binding and RNA expression in the hippocampus of young (2.5 months) and aged (15.5 months) mice in response to contextual fear conditioning.	Learning and age-related changes in genome-wide H2A.Z binding in the hippocampusWe characterize histone H2A.Z binding and RNA expression in the hippocampus of young (2.5 months) and aged (15.5 months) mice in response to contextual fear conditioning.
GSE100040	Homo sapiens	Human TFIIH kinase CDK7 regulates transcription-associated epigenetic modification	"CDK7 phosphorylates the RNA polymerase II (pol II) CTD and activates the P-TEFb- associated kinase, CDK9, but its regulatory roles remain obscure. Using human CDK7 analog-sensitive (CDK7as) cells, we observed reduced capping enzyme recruitment, increased pol II promoter-proximal pausing, and defective termination at gene 3'-ends upon CDK7 inhibition. We also found that CDK7 regulates chromatin modifications downstream of transcription start sites. H3K4me3 spreading was restricted at gene 5'-ends and H3K36me3 was displaced toward gene 3'-ends in CDK7as cells. Together, these results implicate a CDK7-dependent ""CTD code"" that regulates epigenetic marks in addition to RNA processing and pol II pausing."	"Human TFIIH kinase CDK7 regulates transcription-associated epigenetic modificationCDK7 phosphorylates the RNA polymerase II (pol II) CTD and activates the P-TEFb- associated kinase, CDK9, but its regulatory roles remain obscure. Using human CDK7 analog-sensitive (CDK7as) cells, we observed reduced capping enzyme recruitment, increased pol II promoter-proximal pausing, and defective termination at gene 3'-ends upon CDK7 inhibition. We also found that CDK7 regulates chromatin modifications downstream of transcription start sites. H3K4me3 spreading was restricted at gene 5'-ends and H3K36me3 was displaced toward gene 3'-ends in CDK7as cells. Together, these results implicate a CDK7-dependent ""CTD code"" that regulates epigenetic marks in addition to RNA processing and pol II pausing."
GSE100067	Mus musculus	The islet resident macrophage is in an inflammatory state and senses microbial products in blood	We examined the transcriptional profiles of macrophages that reside in the islets of Langerhans of NOD, NOD.Rag1-/-, and B6.g7 mice at three weeks of age. Islet macrophages expressed an activation signature with high expression of Tnf, Il1b, and MHC-II both at the transcript and protein levels. These features are common with barrier macrophages of the lung and gastrointestinal tract. Moreover, injection of lipopolysaccharide induced a rapid inflammatory gene expression, indicating that blood stimulants are accessible to the macrophages and that these macrophages can sense them. In NOD mice, the autoimmune process imparted an increased inflammatory signature, including elevated expression of chemokines, chemokine receptors, and an oxidative response. The elevated inflammatory signature indicates that the autoimmune program was active at the time of weaning. Thus, the macrophages of the islets of Langerhans are poised to mount an immune response even at steady state, while the presence of the adaptive immune system elevates their activation state.	The islet resident macrophage is in an inflammatory state and senses microbial products in bloodWe examined the transcriptional profiles of macrophages that reside in the islets of Langerhans of NOD, NOD.Rag1-/-, and B6.g7 mice at three weeks of age. Islet macrophages expressed an activation signature with high expression of Tnf, Il1b, and MHC-II both at the transcript and protein levels. These features are common with barrier macrophages of the lung and gastrointestinal tract. Moreover, injection of lipopolysaccharide induced a rapid inflammatory gene expression, indicating that blood stimulants are accessible to the macrophages and that these macrophages can sense them. In NOD mice, the autoimmune process imparted an increased inflammatory signature, including elevated expression of chemokines, chemokine receptors, and an oxidative response. The elevated inflammatory signature indicates that the autoimmune program was active at the time of weaning. Thus, the macrophages of the islets of Langerhans are poised to mount an immune response even at steady state, while the presence of the adaptive immune system elevates their activation state.
GSE100070	Mus musculus	Formin 2 Links Neuropsychiatric Phenotypes At Young Age To An Increased Risk For Dementia	Age-associated memory decline is due to variable combinations of genetic and environmental risk factors. How these risk factors interact to drive disease onset is currently unknown. Here we begin to elucidate the mechanisms by which post-traumatic stress disorder (PTSD) at a young age contributes to an increased risk to develop dementia at old age. We show that the actin nucleator Formin 2 (Fmn2) is deregulated in PTSD and in Alzheimerâs disease (AD) patients. Young mice lacking the Fmn2 gene exhibit PTSD-like phenotypes and corresponding impairments of synaptic plasticity while the consolidation of new memories is unaffected. However, Fmn2 mutant mice develop accelerated age-associated memory decline that is further increased in the presence of additional risk factors and is mechanistically linked to a loss of transcriptional homeostasis. In conclusion, our data present a new approach to explore the connection between AD risk factors across life span and provide mechanistic insight to the processes by which neuropsychiatric diseases at a young age affect the risk for developing dementia.	Formin 2 Links Neuropsychiatric Phenotypes At Young Age To An Increased Risk For DementiaAge-associated memory decline is due to variable combinations of genetic and environmental risk factors. How these risk factors interact to drive disease onset is currently unknown. Here we begin to elucidate the mechanisms by which post-traumatic stress disorder (PTSD) at a young age contributes to an increased risk to develop dementia at old age. We show that the actin nucleator Formin 2 (Fmn2) is deregulated in PTSD and in Alzheimerâs disease (AD) patients. Young mice lacking the Fmn2 gene exhibit PTSD-like phenotypes and corresponding impairments of synaptic plasticity while the consolidation of new memories is unaffected. However, Fmn2 mutant mice develop accelerated age-associated memory decline that is further increased in the presence of additional risk factors and is mechanistically linked to a loss of transcriptional homeostasis. In conclusion, our data present a new approach to explore the connection between AD risk factors across life span and provide mechanistic insight to the processes by which neuropsychiatric diseases at a young age affect the risk for developing dementia.
GSE100075	Homo sapiens	Discovery of naturally occurring ESR1 mutations during acquisition of resistance to endocrine therapy in widely used estrogen receptor positive breast cancer cell lines [RNA-Seq]	We report the first discovery of naturally occurring ESR1Y537C and ESR1Y537S mutations in MCF7 and SUM44 ESR1-positive cell-lines after acquisition of resistance to long-term-estrogen-deprivation (LTED) and subsequent resistance to fulvestrant (ICIR).	Discovery of naturally occurring ESR1 mutations during acquisition of resistance to endocrine therapy in widely used estrogen receptor positive breast cancer cell lines [RNA-Seq]We report the first discovery of naturally occurring ESR1Y537C and ESR1Y537S mutations in MCF7 and SUM44 ESR1-positive cell-lines after acquisition of resistance to long-term-estrogen-deprivation (LTED) and subsequent resistance to fulvestrant (ICIR).
GSE100081	Homo sapiens	Mining the stiffness-sensitive transcriptome in human vascular smooth muscle cells identifies long non-coding RNA stiffness regulators	Vascular extracellular matrix (ECM) stiffening is a risk factor for aortic and coronary artery disease. How matrix stiffening regulates the transcriptome profile of human aortic (Ao) and coronary (Co) vascular smooth muscle cells (VSMCs) is not well understood. Furthermore, the role of long non-coding RNAs (lncRNAs) in the cellular response to stiffening has never been explored. This study characterizes the stiffness-sensitive transcriptome of human Ao and Co VSMCs and identify potentially key lncRNA regulators of stiffness-dependent VSMC functions. Ao and Co VSMCs were cultured on hydrogel substrates mimicking physiologic and pathologic ECM stiffness. Total RNA-seq was performed to compare the stiffness-sensitive transcriptome profiles of Ao and Co VSMCs.	Mining the stiffness-sensitive transcriptome in human vascular smooth muscle cells identifies long non-coding RNA stiffness regulatorsVascular extracellular matrix (ECM) stiffening is a risk factor for aortic and coronary artery disease. How matrix stiffening regulates the transcriptome profile of human aortic (Ao) and coronary (Co) vascular smooth muscle cells (VSMCs) is not well understood. Furthermore, the role of long non-coding RNAs (lncRNAs) in the cellular response to stiffening has never been explored. This study characterizes the stiffness-sensitive transcriptome of human Ao and Co VSMCs and identify potentially key lncRNA regulators of stiffness-dependent VSMC functions. Ao and Co VSMCs were cultured on hydrogel substrates mimicking physiologic and pathologic ECM stiffness. Total RNA-seq was performed to compare the stiffness-sensitive transcriptome profiles of Ao and Co VSMCs.
GSE100092	Homo sapiens	The E3 ubiquitin ligase HectD1 suppresses EMT and metastasis by targeting the +TIP protein ACF7 for degradation	Cancer cells exploit the epithelial-to-mesenchymal transition (EMT) program toward metastasis. Cytoskeletal regulators are dually required in mesenchymal cells by promoting EMT-induced migration and sustaining the EMT program itself. In search for novel regulators of metastasis, we conducted an shRNA screen targeting a class of microtubule regulators, the plus-end tracking proteins (+TIPs). We show that the +TIP ACF7 is required for both the maintenance of EMT and to promote migration. We identified HectD1 as a potent E3 ubiquitin ligase mediating ACF7 degradation. Depletion of HectD1 robustly increases ACF7 protein levels and this is sufficient to enhance migration and EMT in cells, as well as facilitate metastasis in vivo. Ours results report the HectD1/ACF7 axis as a novel regulator of metastasis of breast cancer cells.	The E3 ubiquitin ligase HectD1 suppresses EMT and metastasis by targeting the +TIP protein ACF7 for degradationCancer cells exploit the epithelial-to-mesenchymal transition (EMT) program toward metastasis. Cytoskeletal regulators are dually required in mesenchymal cells by promoting EMT-induced migration and sustaining the EMT program itself. In search for novel regulators of metastasis, we conducted an shRNA screen targeting a class of microtubule regulators, the plus-end tracking proteins (+TIPs). We show that the +TIP ACF7 is required for both the maintenance of EMT and to promote migration. We identified HectD1 as a potent E3 ubiquitin ligase mediating ACF7 degradation. Depletion of HectD1 robustly increases ACF7 protein levels and this is sufficient to enhance migration and EMT in cells, as well as facilitate metastasis in vivo. Ours results report the HectD1/ACF7 axis as a novel regulator of metastasis of breast cancer cells.
GSE100098	Mus musculus	Neat1 is a p53-inducible lincRNA essential for transformation suppression	p53 is a transcriptional activator that induces myriad target genes. However, those p53-inducible genes most critical for tumor suppression remain elusive. Here, we identify Neat1, a ncRNA constituent of paraspeckles, as a p53 target gene induced by mouse and human p53 in different cell types and by diverse stress signals. Using fibroblasts derived from Neat1-/- mice, we examine the functional role of Neat1 in the p53 pathway. We find that Neat1 is dispensable for cell-cycle arrest and apoptosis in response to genotoxic stress, but plays a crucial role in suppressing transformation in response to oncogenic signals. To determine the effects of Neat1 deficiency on cells, we used E1A;HRasV12-expressing  wild-type and Neat1-/- mouse embryonic fibroblasts (MEFs) for RNA-sequencing analysis. This analysis revealed that  Neat1 deficiency impacts the regulatory networks involved in nervous system development and axon guidance programs, as well as genes of the SWI/SNF complex  and components of the pancreas development network. These findings suggest that the ability of Neat1 to globally regulate gene expression, with effects on diverse transcriptional programs, provides a potential mechanism for how Neat1 acts to suppress transformation and tumor initiation.	Neat1 is a p53-inducible lincRNA essential for transformation suppressionp53 is a transcriptional activator that induces myriad target genes. However, those p53-inducible genes most critical for tumor suppression remain elusive. Here, we identify Neat1, a ncRNA constituent of paraspeckles, as a p53 target gene induced by mouse and human p53 in different cell types and by diverse stress signals. Using fibroblasts derived from Neat1-/- mice, we examine the functional role of Neat1 in the p53 pathway. We find that Neat1 is dispensable for cell-cycle arrest and apoptosis in response to genotoxic stress, but plays a crucial role in suppressing transformation in response to oncogenic signals. To determine the effects of Neat1 deficiency on cells, we used E1A;HRasV12-expressing  wild-type and Neat1-/- mouse embryonic fibroblasts (MEFs) for RNA-sequencing analysis. This analysis revealed that  Neat1 deficiency impacts the regulatory networks involved in nervous system development and axon guidance programs, as well as genes of the SWI/SNF complex  and components of the pancreas development network. These findings suggest that the ability of Neat1 to globally regulate gene expression, with effects on diverse transcriptional programs, provides a potential mechanism for how Neat1 acts to suppress transformation and tumor initiation.
